referralId,stats.tipCount,stats.usersCount,stats.checkinsCount,verified,location.country,location.cc,location.distance,location.lng,location.lat,name,id,categories.primary,categories.icon.suffix,categories.icon.prefix,categories.shortName,categories.pluralName,categories.name,categories.id,allowMenuUrlEdit,location.city,location.state,location.postalCode,url,location.crossStreet,storeId,venueChains.id
v-1461944107,,8,9,false,United Kingdom,GB,80689,-0.42235098449958874,53.721126276834966,lexus,52f608f811d2ce9278a1fd02,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Automotive,Automotive Shops,Automotive Shop,4bf58dd8d48988d124951735,true,,,,,,,
v-1461944107,,2,2,false,United Kingdom,GB,95977,-2.111439,52.57921,Lexus,4df228fbb0fb807158bcd936,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Automotive,Automotive Shops,Automotive Shop,4bf58dd8d48988d124951735,true,,,,,,,
v-1461944107,,4,4,false,United Kingdom,GB,80892,-1.1390103516652887,52.65115490896469,Sytner Lexus Leicester,4d551a559e508cfa0b7afb9a,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Automotive,Automotive Shops,Automotive Shop,4bf58dd8d48988d124951735,true,,,,,,,
v-1461944107,,18,164,false,United Kingdom,GB,96487,-1.819232,52.509184,Lexus Birmingham,5131f7b0e4b0eacbc2739683,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Auto Dealer,Auto Dealerships,Auto Dealership,4eb1c1623b7b52c0e1adc2ec,true,,,,,,,
v-1461944107,,,,false,United Kingdom,GB,93925,-2.874603,53.263252,mitchell lexus,52f2664e498ea74c3ce4445d,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Automotive,Automotive Shops,Automotive Shop,4bf58dd8d48988d124951735,true,,,,,,,
v-1461944107,,,,true,United Kingdom,GB,102486,-3.0044174194335938,53.453700879407954,Lexus Liverpool,4e731cf2cc3f93bd770d2bf8,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Automotive,Automotive Shops,Automotive Shop,4bf58dd8d48988d124951735,,,,,,,,
v-1461944107,,,,true,United Kingdom,GB,108383,-1.463667962,52.3763768129,Lexus Coventry,4fdf0e64bb3dfbb6b7845feb,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Auto Dealer,Auto Dealerships,Auto Dealership,4eb1c1623b7b52c0e1adc2ec,,,,,,,,
v-1461944107,1,8,122,true,United Kingdom,GB,46876,-2.0961154997,51.9119998149,Lexus Cheltenham,4ec4c44ff5b9b3183fc91b2b,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Auto Dealer,Auto Dealerships,Auto Dealership,4eb1c1623b7b52c0e1adc2ec,true,Cheltenham,Gloucestershire,GL51 9DT,http://listers.co.uk/Lexus,,6,556e57d9bd6a82902e28cd48
v-1461944107,,5,6,false,United Kingdom,GB,70598,-2.111439,52.57921,Lexus,4df228fbb0fb807158bcd936,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Automotive,Automotive Shops,Automotive Shop,4bf58dd8d48988d124951735,true,Wolverhampton,West Midlands,CF11 8AQ,http://listers.co.uk/Lexus,,,556e57d9bd6a82902e28cd48
v-1461944107,,3,5,false,United Kingdom,GB,70431,-2.5562706277133915,51.44650126486623,Lexus Bristol,4f461274e4b0f37b08415440,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Auto Dealer,Auto Dealerships,Auto Dealership,4eb1c1623b7b52c0e1adc2ec,true,Cardiff,Stoke-on-Trent,CV3 4LP,http://www.johnsonscars.co.uk/lexus,,,
